="2014.04.01","7.68%",
="2014.04.02","7.61%",
="2014.04.03","7.63%",
="2014.04.04","7.95%",
="2014.04.05","8.47%",
="2014.04.06","8.24%",
="2014.04.07","8.07%",
="2014.04.08","7.77%",
="2014.04.09","7.79%",
="2014.04.10","7.90%",
="2014.04.11","7.94%",
="2014.04.12","8.36%",
="2014.04.13","8.33%",
="2014.04.14","7.83%",
="2014.04.15","7.88%",
="2014.04.16","7.91%",
="2014.04.17","8.23%",
="2014.04.18","8.33%",
="2014.04.19","8.65%",
="2014.04.20","8.56%",
="2014.04.21","8.07%",
="2014.04.22","8.07%",
="2014.04.23","8.08%",
="2014.04.24","8.13%",
="2014.04.25","8.33%",
="2014.04.26","8.68%",
="2014.04.27","8.60%",
="2014.04.28","8.23%",
="2014.04.29","8.37%",
="2014.04.30","8.70%",
="2014.05.01","9.21%",
="2014.05.02","8.88%",
="2014.05.03","8.61%",
="2014.05.04","8.22%",
="2014.05.05","8.15%",
="2014.05.06","8.30%",
="2014.05.07","8.08%",
="2014.05.08","8.07%",
="2014.05.09","8.34%",
="2014.05.10","8.65%",
="2014.05.11","8.61%",
="2014.05.12","8.28%",
="2014.05.13","8.30%",
="2014.05.14","8.48%",
="2014.05.15","8.66%",
="2014.05.16","8.83%",
="2014.05.17","9.21%",
="2014.05.18","8.99%",
="2014.05.19","8.52%",
="2014.05.20","8.65%",
="2014.05.21","8.64%",
="2014.05.22","8.82%",
="2014.05.23","8.84%",
="2014.05.24","9.13%",
="2014.05.25","9.11%",
="2014.05.26","8.69%",
="2014.05.27","8.67%",
="2014.05.28","8.63%",
="2014.05.29","8.73%",
="2014.05.30","9.09%",
="2014.05.31","9.29%",
="2014.06.01","9.29%",
="2014.06.02","9.34%",
="2014.06.03","8.73%",
="2014.06.04","8.59%",
="2014.06.05","8.71%",
="2014.06.06","8.80%",
="2014.06.07","8.90%",
="2014.06.08","8.90%",
="2014.06.09","8.92%",
="2014.06.10","8.77%",
="2014.06.11","8.70%",
="2014.06.12","8.82%",
="2014.06.13","8.80%",
="2014.06.14","9.27%",
="2014.06.15","9.26%",
="2014.06.16","8.83%",
="2014.06.17","9.04%",
="2014.06.18","9.21%",
="2014.06.19","9.16%",
="2014.06.20","9.04%",
="2014.06.21","9.63%",
="2014.06.22","9.46%",
="2014.06.23","9.31%",
="2014.06.24","9.47%",
="2014.06.25","9.56%",
="2014.06.26","9.63%",
="2014.06.27","9.82%",
="2014.06.28","10.09%",
="2014.06.29","10.13%",
="2014.06.30","9.85%",
