="2014.04.01","3.84%",
="2014.04.02","3.92%",
="2014.04.03","3.93%",
="2014.04.04","3.91%",
="2014.04.05","3.92%",
="2014.04.06","4.01%",
="2014.04.07","3.98%",
="2014.04.08","3.72%",
="2014.04.09","3.83%",
="2014.04.10","3.36%",
="2014.04.11","3.56%",
="2014.04.12","3.74%",
="2014.04.13","3.91%",
="2014.04.14","3.80%",
="2014.04.15","3.73%",
="2014.04.16","3.81%",
="2014.04.17","3.51%",
="2014.04.18","3.30%",
="2014.04.19","3.62%",
="2014.04.20","3.84%",
="2014.04.21","3.68%",
="2014.04.22","3.65%",
="2014.04.23","3.67%",
="2014.04.24","3.64%",
="2014.04.25","3.42%",
="2014.04.26","3.51%",
="2014.04.27","3.70%",
="2014.04.28","3.48%",
="2014.04.29","3.36%",
="2014.04.30","3.20%",
="2014.05.01","3.42%",
="2014.05.02","3.57%",
="2014.05.03","3.69%",
="2014.05.04","3.61%",
="2014.05.05","3.59%",
="2014.05.06","3.61%",
="2014.05.07","3.65%",
="2014.05.08","3.77%",
="2014.05.09","3.45%",
="2014.05.10","3.58%",
="2014.05.11","3.68%",
="2014.05.12","3.43%",
="2014.05.13","3.40%",
="2014.05.14","3.31%",
="2014.05.15","3.18%",
="2014.05.16","3.03%",
="2014.05.17","3.11%",
="2014.05.18","3.44%",
="2014.05.19","3.34%",
="2014.05.20","3.15%",
="2014.05.21","3.18%",
="2014.05.22","3.08%",
="2014.05.23","2.90%",
="2014.05.24","3.14%",
="2014.05.25","3.31%",
="2014.05.26","3.10%",
="2014.05.27","3.08%",
="2014.05.28","3.15%",
="2014.05.29","3.10%",
="2014.05.30","3.01%",
="2014.05.31","3.16%",
="2014.06.01","3.16%",
="2014.06.02","3.39%",
="2014.06.03","3.26%",
="2014.06.04","3.41%",
="2014.06.05","3.31%",
="2014.06.06","3.23%",
="2014.06.07","3.43%",
="2014.06.08","3.58%",
="2014.06.09","3.31%",
="2014.06.10","3.29%",
="2014.06.11","3.40%",
="2014.06.12","3.37%",
="2014.06.13","3.32%",
="2014.06.14","3.56%",
="2014.06.15","3.77%",
="2014.06.16","3.48%",
="2014.06.17","3.19%",
="2014.06.18","2.80%",
="2014.06.19","3.20%",
="2014.06.20","3.49%",
="2014.06.21","3.13%",
="2014.06.22","3.27%",
="2014.06.23","2.99%",
="2014.06.24","2.93%",
="2014.06.25","2.94%",
="2014.06.26","2.86%",
="2014.06.27","2.63%",
="2014.06.28","2.73%",
="2014.06.29","2.97%",
="2014.06.30","2.63%",
