="2014.04.01","1.81%",
="2014.04.02","1.80%",
="2014.04.03","1.81%",
="2014.04.04","1.83%",
="2014.04.05","1.82%",
="2014.04.06","1.82%",
="2014.04.07","1.82%",
="2014.04.08","1.80%",
="2014.04.09","1.82%",
="2014.04.10","1.85%",
="2014.04.11","1.87%",
="2014.04.12","1.84%",
="2014.04.13","1.77%",
="2014.04.14","1.81%",
="2014.04.15","1.81%",
="2014.04.16","1.81%",
="2014.04.17","1.85%",
="2014.04.18","1.90%",
="2014.04.19","1.85%",
="2014.04.20","1.78%",
="2014.04.21","1.83%",
="2014.04.22","1.82%",
="2014.04.23","1.81%",
="2014.04.24","1.82%",
="2014.04.25","1.85%",
="2014.04.26","1.84%",
="2014.04.27","1.79%",
="2014.04.28","1.83%",
="2014.04.29","1.84%",
="2014.04.30","1.88%",
="2014.05.01","1.82%",
="2014.05.02","1.85%",
="2014.05.03","1.82%",
="2014.05.04","1.83%",
="2014.05.05","1.83%",
="2014.05.06","1.80%",
="2014.05.07","1.81%",
="2014.05.08","1.80%",
="2014.05.09","1.85%",
="2014.05.10","1.84%",
="2014.05.11","1.79%",
="2014.05.12","1.84%",
="2014.05.13","1.82%",
="2014.05.14","1.84%",
="2014.05.15","1.85%",
="2014.05.16","1.88%",
="2014.05.17","1.87%",
="2014.05.18","1.79%",
="2014.05.19","1.82%",
="2014.05.20","1.83%",
="2014.05.21","1.84%",
="2014.05.22","1.84%",
="2014.05.23","1.90%",
="2014.05.24","1.87%",
="2014.05.25","1.82%",
="2014.05.26","1.86%",
="2014.05.27","1.85%",
="2014.05.28","1.84%",
="2014.05.29","1.84%",
="2014.05.30","1.87%",
="2014.05.31","1.86%",
="2014.06.01","1.86%",
="2014.06.02","1.76%",
="2014.06.03","1.80%",
="2014.06.04","1.78%",
="2014.06.05","1.81%",
="2014.06.06","1.83%",
="2014.06.07","1.82%",
="2014.06.08","1.76%",
="2014.06.09","1.79%",
="2014.06.10","1.79%",
="2014.06.11","1.79%",
="2014.06.12","1.80%",
="2014.06.13","1.82%",
="2014.06.14","1.79%",
="2014.06.15","1.71%",
="2014.06.16","1.78%",
="2014.06.17","1.81%",
="2014.06.18","1.85%",
="2014.06.19","1.80%",
="2014.06.20","1.81%",
="2014.06.21","1.82%",
="2014.06.22","1.77%",
="2014.06.23","1.86%",
="2014.06.24","1.89%",
="2014.06.25","1.89%",
="2014.06.26","1.90%",
="2014.06.27","1.94%",
="2014.06.28","1.91%",
="2014.06.29","1.85%",
="2014.06.30","1.92%",
