="2014.04.01","4.07%",
="2014.04.02","4.01%",
="2014.04.03","4.04%",
="2014.04.04","4.13%",
="2014.04.05","3.92%",
="2014.04.06","3.89%",
="2014.04.07","3.89%",
="2014.04.08","4.10%",
="2014.04.09","4.13%",
="2014.04.10","4.20%",
="2014.04.11","4.26%",
="2014.04.12","3.99%",
="2014.04.13","3.82%",
="2014.04.14","4.13%",
="2014.04.15","4.14%",
="2014.04.16","4.13%",
="2014.04.17","4.22%",
="2014.04.18","4.34%",
="2014.04.19","4.09%",
="2014.04.20","3.86%",
="2014.04.21","4.19%",
="2014.04.22","4.22%",
="2014.04.23","4.17%",
="2014.04.24","4.19%",
="2014.04.25","4.28%",
="2014.04.26","4.07%",
="2014.04.27","3.90%",
="2014.04.28","4.23%",
="2014.04.29","4.26%",
="2014.04.30","4.39%",
="2014.05.01","4.04%",
="2014.05.02","4.06%",
="2014.05.03","3.97%",
="2014.05.04","4.21%",
="2014.05.05","4.20%",
="2014.05.06","4.20%",
="2014.05.07","4.22%",
="2014.05.08","4.21%",
="2014.05.09","4.34%",
="2014.05.10","4.13%",
="2014.05.11","3.95%",
="2014.05.12","4.30%",
="2014.05.13","4.32%",
="2014.05.14","4.35%",
="2014.05.15","4.36%",
="2014.05.16","4.47%",
="2014.05.17","4.26%",
="2014.05.18","3.99%",
="2014.05.19","4.33%",
="2014.05.20","4.41%",
="2014.05.21","4.41%",
="2014.05.22","4.44%",
="2014.05.23","4.52%",
="2014.05.24","4.28%",
="2014.05.25","4.07%",
="2014.05.26","4.45%",
="2014.05.27","4.46%",
="2014.05.28","4.46%",
="2014.05.29","4.46%",
="2014.05.30","4.53%",
="2014.05.31","4.30%",
="2014.06.01","4.30%",
="2014.06.02","4.08%",
="2014.06.03","4.42%",
="2014.06.04","4.38%",
="2014.06.05","4.45%",
="2014.06.06","4.50%",
="2014.06.07","4.22%",
="2014.06.08","4.06%",
="2014.06.09","4.42%",
="2014.06.10","4.44%",
="2014.06.11","4.44%",
="2014.06.12","4.48%",
="2014.06.13","4.55%",
="2014.06.14","4.21%",
="2014.06.15","4.01%",
="2014.06.16","4.48%",
="2014.06.17","4.53%",
="2014.06.18","4.66%",
="2014.06.19","4.55%",
="2014.06.20","4.55%",
="2014.06.21","4.30%",
="2014.06.22","4.15%",
="2014.06.23","4.67%",
="2014.06.24","4.74%",
="2014.06.25","4.77%",
="2014.06.26","4.77%",
="2014.06.27","4.88%",
="2014.06.28","4.56%",
="2014.06.29","4.38%",
="2014.06.30","4.89%",
