="2014.04.01","3.25%",
="2014.04.02","3.20%",
="2014.04.03","3.21%",
="2014.04.04","3.16%",
="2014.04.05","2.67%",
="2014.04.06","2.70%",
="2014.04.07","2.77%",
="2014.04.08","3.29%",
="2014.04.09","3.25%",
="2014.04.10","3.27%",
="2014.04.11","3.22%",
="2014.04.12","2.80%",
="2014.04.13","2.69%",
="2014.04.14","3.20%",
="2014.04.15","3.20%",
="2014.04.16","3.21%",
="2014.04.17","3.23%",
="2014.04.18","3.22%",
="2014.04.19","2.81%",
="2014.04.20","2.68%",
="2014.04.21","3.20%",
="2014.04.22","3.29%",
="2014.04.23","3.23%",
="2014.04.24","3.24%",
="2014.04.25","3.21%",
="2014.04.26","2.83%",
="2014.04.27","2.72%",
="2014.04.28","3.25%",
="2014.04.29","3.28%",
="2014.04.30","3.29%",
="2014.05.01","2.75%",
="2014.05.02","2.77%",
="2014.05.03","2.74%",
="2014.05.04","3.20%",
="2014.05.05","3.25%",
="2014.05.06","3.24%",
="2014.05.07","3.23%",
="2014.05.08","3.20%",
="2014.05.09","3.24%",
="2014.05.10","2.79%",
="2014.05.11","2.71%",
="2014.05.12","3.27%",
="2014.05.13","3.26%",
="2014.05.14","3.27%",
="2014.05.15","3.29%",
="2014.05.16","3.29%",
="2014.05.17","2.88%",
="2014.05.18","2.73%",
="2014.05.19","3.26%",
="2014.05.20","3.31%",
="2014.05.21","3.25%",
="2014.05.22","3.29%",
="2014.05.23","3.29%",
="2014.05.24","2.84%",
="2014.05.25","2.73%",
="2014.05.26","3.29%",
="2014.05.27","3.30%",
="2014.05.28","3.27%",
="2014.05.29","3.28%",
="2014.05.30","3.28%",
="2014.05.31","2.83%",
="2014.06.01","2.83%",
="2014.06.02","2.67%",
="2014.06.03","3.23%",
="2014.06.04","3.19%",
="2014.06.05","3.21%",
="2014.06.06","3.16%",
="2014.06.07","2.76%",
="2014.06.08","2.64%",
="2014.06.09","3.15%",
="2014.06.10","3.18%",
="2014.06.11","3.16%",
="2014.06.12","3.17%",
="2014.06.13","3.14%",
="2014.06.14","2.73%",
="2014.06.15","2.60%",
="2014.06.16","3.13%",
="2014.06.17","3.21%",
="2014.06.18","3.27%",
="2014.06.19","3.18%",
="2014.06.20","3.14%",
="2014.06.21","2.83%",
="2014.06.22","2.72%",
="2014.06.23","3.26%",
="2014.06.24","3.26%",
="2014.06.25","3.26%",
="2014.06.26","3.27%",
="2014.06.27","3.31%",
="2014.06.28","2.92%",
="2014.06.29","2.79%",
="2014.06.30","3.29%",
