="2014.04.01","10.88%",
="2014.04.02","10.79%",
="2014.04.03","10.84%",
="2014.04.04","11.07%",
="2014.04.05","11.22%",
="2014.04.06","11.16%",
="2014.04.07","10.98%",
="2014.04.08","10.69%",
="2014.04.09","10.89%",
="2014.04.10","11.05%",
="2014.04.11","11.15%",
="2014.04.12","11.05%",
="2014.04.13","10.75%",
="2014.04.14","10.85%",
="2014.04.15","10.82%",
="2014.04.16","10.82%",
="2014.04.17","10.98%",
="2014.04.18","11.27%",
="2014.04.19","11.10%",
="2014.04.20","10.80%",
="2014.04.21","10.89%",
="2014.04.22","10.84%",
="2014.04.23","10.84%",
="2014.04.24","10.91%",
="2014.04.25","11.13%",
="2014.04.26","11.18%",
="2014.04.27","10.93%",
="2014.04.28","10.96%",
="2014.04.29","11.03%",
="2014.04.30","11.34%",
="2014.05.01","11.34%",
="2014.05.02","11.36%",
="2014.05.03","11.01%",
="2014.05.04","10.95%",
="2014.05.05","10.97%",
="2014.05.06","10.78%",
="2014.05.07","10.76%",
="2014.05.08","10.74%",
="2014.05.09","11.08%",
="2014.05.10","11.05%",
="2014.05.11","10.86%",
="2014.05.12","11.07%",
="2014.05.13","10.89%",
="2014.05.14","10.91%",
="2014.05.15","11.03%",
="2014.05.16","11.20%",
="2014.05.17","11.21%",
="2014.05.18","10.84%",
="2014.05.19","10.82%",
="2014.05.20","10.94%",
="2014.05.21","10.92%",
="2014.05.22","10.99%",
="2014.05.23","11.28%",
="2014.05.24","11.17%",
="2014.05.25","10.98%",
="2014.05.26","11.06%",
="2014.05.27","10.94%",
="2014.05.28","10.89%",
="2014.05.29","10.91%",
="2014.05.30","11.18%",
="2014.05.31","11.24%",
="2014.06.01","11.24%",
="2014.06.02","10.85%",
="2014.06.03","10.69%",
="2014.06.04","10.56%",
="2014.06.05","10.66%",
="2014.06.06","10.77%",
="2014.06.07","10.63%",
="2014.06.08","10.41%",
="2014.06.09","10.53%",
="2014.06.10","10.52%",
="2014.06.11","10.44%",
="2014.06.12","10.40%",
="2014.06.13","10.49%",
="2014.06.14","10.46%",
="2014.06.15","10.21%",
="2014.06.16","10.34%",
="2014.06.17","10.53%",
="2014.06.18","10.78%",
="2014.06.19","10.52%",
="2014.06.20","10.58%",
="2014.06.21","10.78%",
="2014.06.22","10.60%",
="2014.06.23","10.78%",
="2014.06.24","10.86%",
="2014.06.25","10.84%",
="2014.06.26","10.99%",
="2014.06.27","11.33%",
="2014.06.28","11.21%",
="2014.06.29","11.01%",
="2014.06.30","11.19%",
