="2014.04.01","13.41%",
="2014.04.02","13.19%",
="2014.04.03","13.25%",
="2014.04.04","13.32%",
="2014.04.05","12.30%",
="2014.04.06","12.21%",
="2014.04.07","12.38%",
="2014.04.08","13.44%",
="2014.04.09","13.43%",
="2014.04.10","13.60%",
="2014.04.11","13.57%",
="2014.04.12","12.64%",
="2014.04.13","12.07%",
="2014.04.14","13.33%",
="2014.04.15","13.35%",
="2014.04.16","13.34%",
="2014.04.17","13.61%",
="2014.04.18","13.80%",
="2014.04.19","12.83%",
="2014.04.20","12.16%",
="2014.04.21","13.39%",
="2014.04.22","13.59%",
="2014.04.23","13.41%",
="2014.04.24","13.48%",
="2014.04.25","13.59%",
="2014.04.26","12.78%",
="2014.04.27","12.22%",
="2014.04.28","13.51%",
="2014.04.29","13.64%",
="2014.04.30","13.89%",
="2014.05.01","12.56%",
="2014.05.02","12.48%",
="2014.05.03","12.27%",
="2014.05.04","13.31%",
="2014.05.05","13.40%",
="2014.05.06","13.40%",
="2014.05.07","13.35%",
="2014.05.08","13.23%",
="2014.05.09","13.55%",
="2014.05.10","12.67%",
="2014.05.11","12.17%",
="2014.05.12","13.53%",
="2014.05.13","13.54%",
="2014.05.14","13.63%",
="2014.05.15","13.70%",
="2014.05.16","13.88%",
="2014.05.17","13.01%",
="2014.05.18","12.21%",
="2014.05.19","13.51%",
="2014.05.20","13.74%",
="2014.05.21","13.68%",
="2014.05.22","13.80%",
="2014.05.23","13.91%",
="2014.05.24","12.91%",
="2014.05.25","12.32%",
="2014.05.26","13.73%",
="2014.05.27","13.75%",
="2014.05.28","13.62%",
="2014.05.29","13.64%",
="2014.05.30","13.84%",
="2014.05.31","12.85%",
="2014.06.01","12.85%",
="2014.06.02","12.09%",
="2014.06.03","13.47%",
="2014.06.04","13.35%",
="2014.06.05","13.47%",
="2014.06.06","13.48%",
="2014.06.07","12.42%",
="2014.06.08","11.89%",
="2014.06.09","13.40%",
="2014.06.10","13.42%",
="2014.06.11","13.35%",
="2014.06.12","13.39%",
="2014.06.13","13.39%",
="2014.06.14","12.36%",
="2014.06.15","11.82%",
="2014.06.16","13.26%",
="2014.06.17","13.55%",
="2014.06.18","13.90%",
="2014.06.19","13.56%",
="2014.06.20","13.42%",
="2014.06.21","12.75%",
="2014.06.22","12.21%",
="2014.06.23","13.86%",
="2014.06.24","14.02%",
="2014.06.25","14.00%",
="2014.06.26","14.05%",
="2014.06.27","14.31%",
="2014.06.28","13.29%",
="2014.06.29","12.78%",
="2014.06.30","14.23%",
