="2014.04.01","15.35%",
="2014.04.02","15.26%",
="2014.04.03","15.03%",
="2014.04.04","14.46%",
="2014.04.05","14.07%",
="2014.04.06","14.19%",
="2014.04.07","14.71%",
="2014.04.08","15.61%",
="2014.04.09","15.25%",
="2014.04.10","15.45%",
="2014.04.11","15.24%",
="2014.04.12","15.00%",
="2014.04.13","15.29%",
="2014.04.14","15.24%",
="2014.04.15","15.33%",
="2014.04.16","15.29%",
="2014.04.17","15.75%",
="2014.04.18","15.67%",
="2014.04.19","15.38%",
="2014.04.20","15.65%",
="2014.04.21","15.77%",
="2014.04.22","15.82%",
="2014.04.23","15.45%",
="2014.04.24","15.31%",
="2014.04.25","15.25%",
="2014.04.26","15.27%",
="2014.04.27","15.58%",
="2014.04.28","15.63%",
="2014.04.29","15.64%",
="2014.04.30","14.84%",
="2014.05.01","14.19%",
="2014.05.02","14.25%",
="2014.05.03","14.81%",
="2014.05.04","15.50%",
="2014.05.05","15.35%",
="2014.05.06","15.45%",
="2014.05.07","15.51%",
="2014.05.08","15.54%",
="2014.05.09","15.41%",
="2014.05.10","15.25%",
="2014.05.11","15.43%",
="2014.05.12","15.46%",
="2014.05.13","15.57%",
="2014.05.14","15.58%",
="2014.05.15","15.64%",
="2014.05.16","15.47%",
="2014.05.17","15.31%",
="2014.05.18","15.38%",
="2014.05.19","15.55%",
="2014.05.20","15.74%",
="2014.05.21","15.77%",
="2014.05.22","15.76%",
="2014.05.23","15.51%",
="2014.05.24","15.30%",
="2014.05.25","15.59%",
="2014.05.26","15.67%",
="2014.05.27","15.75%",
="2014.05.28","15.71%",
="2014.05.29","15.67%",
="2014.05.30","15.18%",
="2014.05.31","14.88%",
="2014.06.01","14.88%",
="2014.06.02","14.87%",
="2014.06.03","15.35%",
="2014.06.04","15.35%",
="2014.06.05","15.45%",
="2014.06.06","15.16%",
="2014.06.07","15.18%",
="2014.06.08","15.39%",
="2014.06.09","15.17%",
="2014.06.10","15.27%",
="2014.06.11","15.16%",
="2014.06.12","15.35%",
="2014.06.13","15.36%",
="2014.06.14","15.05%",
="2014.06.15","15.28%",
="2014.06.16","15.44%",
="2014.06.17","15.64%",
="2014.06.18","15.95%",
="2014.06.19","15.42%",
="2014.06.20","15.04%",
="2014.06.21","15.30%",
="2014.06.22","15.52%",
="2014.06.23","15.67%",
="2014.06.24","15.94%",
="2014.06.25","15.77%",
="2014.06.26","15.75%",
="2014.06.27","15.57%",
="2014.06.28","15.58%",
="2014.06.29","15.59%",
="2014.06.30","15.64%",
